archetype #,Feature Name,P value (Mann-Whitney),Median Difference,Mean Difference,Significant after Benjamini-Hochberg correction?,Is first bin maximal?
1,ANXA1,8.628e-07,7.9086,6.0258,1,1
1,LGALS1,7.6379e-08,7.6869,6.4919,1,1
1,MAGEA4,0.00029782,7.6613,3.8695,1,1
1,VIM,5.1671e-08,7.3958,6.4244,1,1
1,IFITM3,1.1788e-07,5.6879,5.0491,1,1
1,TPM2,1.0207e-07,5.4527,4.687,1,1
1,YAP1,3.31e-08,5.4516,4.9569,1,1
1,MYL9,0.0017641,5.4264,3.6822,1,1
1,CTSZ,0.00047456,5.1393,2.8425,1,1
1,EPB41L2,9.0179e-06,5.0781,3.5504,1,1
1,ZFP36L1,2.8077e-06,5.0556,3.4928,1,1
1,SEMA3C,0.00012964,4.897,3.0712,1,1
1,MME,0.0015189,4.7565,2.7669,1,1
1,TMBIM1,1.349e-05,4.7362,3.1255,1,1
1,WWTR1,2.0033e-05,4.656,3.232,1,1
1,CNN2,3.479e-08,4.6214,4.4956,1,1
1,MMP14,0.00040247,4.5927,3.2035,1,1
1,CAV1,3.17e-07,4.5646,4.5522,1,1
1,MSRB3,5.6999e-08,4.5458,3.8586,1,1
1,OSMR,2.8077e-06,4.5231,3.9564,1,1
1,EMP3,1.0184e-05,4.5185,3.4229,1,1
1,S100A10,0.0011549,4.5149,2.9827,1,1
1,GPX8,1.2971e-07,4.4761,3.8295,1,1
1,AHNAK,1.2366e-07,4.4756,3.8566,1,1
1,IGF2BP2,2.9532e-05,4.4655,2.9219,1,1
1,EMP1,5.0194e-07,4.4452,4.2141,1,1
1,THBS1,0.00054072,4.4349,3.0782,1,1
1,RAB32,9.4334e-07,4.4196,3.094,1,1
1,CCND1,0.00016023,4.3625,3.2233,1,1
1,IGFBP3,0.00014935,4.3547,3.551,1,1
1,MRC2,1.071e-07,4.3507,3.6642,1,1
1,IFITM2,2.6307e-05,4.3024,3.4753,1,1
1,CD40,6.5149e-05,4.2868,2.4706,1,1
