archetype #,Feature Name,P value (Mann-Whitney),Median Difference,Mean Difference,Significant after Benjamini-Hochberg correction?,Is first bin maximal?
1,ANXA1,9.4334e-07,7.9337,5.9525,1,1
1,LGALS1,3.0264e-07,7.4488,5.7964,1,1
1,MAGEA4,0.0030653,7.4205,3.682,1,1
1,VIM,6.2859e-08,7.1562,6.2128,1,1
1,IFITM3,1.1788e-07,5.6563,5.0203,1,1
1,CCN1,3.479e-08,5.5819,4.973,1,1
1,CTSZ,0.0019282,5.448,3.0853,1,1
1,YAP1,1.9049e-08,5.3322,5.018,1,1
1,EPB41L2,3.8131e-07,5.0744,3.9072,1,1
1,MME,0.000416,5.0051,3.1481,1,1
1,MMP14,6.0504e-05,4.918,3.5441,1,1
1,CAVIN1,2.6902e-06,4.9134,4.2358,1,1
1,MYL9,0.0015653,4.8877,3.493,1,1
1,TPM2,9.2696e-08,4.8631,4.3559,1,1
1,SEMA3C,8.1192e-05,4.8403,3.0537,1,1
1,TMBIM1,2.2658e-06,4.8083,3.4098,1,1
1,CNN2,3.1491e-08,4.6521,4.5194,1,1
1,ZFP36L1,1.0604e-05,4.5203,3.2085,1,1
1,MICA,1.5689e-07,4.5067,3.6494,1,1
1,MSRB3,1.0203e-07,4.4811,3.5792,1,1
1,CCN2,2.6902e-06,4.4583,4.6026,1,1
1,WWTR1,4.3218e-05,4.4388,3.0661,1,1
1,AHNAK,4.5813e-07,4.4239,3.5691,1,1
1,GPX8,1.1788e-07,4.2826,3.8225,1,1
1,IGF2BP2,5.4121e-05,4.2264,2.8804,1,1
1,EMP3,9.389e-05,4.213,3.1369,1,1
1,CAV1,9.4318e-07,4.173,4.0878,1,1
1,EMP1,7.66e-06,4.1569,3.7155,1,1
1,CD40,0.001872,4.137,2.0173,1,1
1,ADGRG6,5.0194e-07,4.1093,3.5312,1,1
1,OSMR,8.3127e-06,4.1068,3.5436,1,1
1,RAB32,3.6228e-06,4.0838,2.8575,1,1
