archetype #,Feature Name,P value (Mann-Whitney),Median Difference,Mean Difference,Significant after Benjamini-Hochberg correction?,Is first bin maximal?
1,ANXA1,4.8612e-06,7.5254,5.2807,1,1
1,MAGEA4,0.0014298,7.4275,4.0181,1,1
1,LGALS1,8.6584e-06,7.3748,5.3444,1,1
1,VIM,2.2658e-06,7.0728,5.4429,1,1
1,IFITM3,3.8131e-07,5.6563,4.685,1,1
1,CCN1,1.3605e-07,5.5819,4.6526,1,1
1,YAP1,4.457e-08,5.3322,4.7759,1,1
1,TPM2,3.9418e-06,5.0971,4.3603,1,1
1,EPB41L2,3.6414e-07,5.0744,3.9136,1,1
1,MYL9,0.00044439,4.8877,3.7237,1,1
1,CAVIN1,0.00031859,4.8876,3.5859,1,1
1,CTSZ,0.0019282,4.8765,2.9917,1,1
1,PLBD1,3.1902e-06,4.8561,3.8125,1,1
1,SEMA3C,2.5308e-05,4.8403,3.2998,1,1
1,TMBIM1,9.8628e-07,4.8083,3.5628,1,1
1,HMGA2,1.9263e-05,4.6474,3.4372,1,1
1,CNN2,2.8077e-06,4.6226,3.9311,1,1
1,MME,0.018835,4.5535,2.4295,1,1
1,ZFP36L1,6.2367e-06,4.5203,3.2743,1,1
1,MICA,9.7794e-06,4.5055,3.1645,1,1
1,MSRB3,6.0176e-07,4.4767,3.7681,1,1
1,CCN2,3.6228e-06,4.4583,4.579,1,1
1,WWTR1,5.0226e-05,4.4343,2.9451,1,1
1,MMP14,0.0014299,4.433,3.032,1,1
1,IGF2BP2,1.8251e-06,4.4197,3.3133,1,1
1,CCND1,0.00024286,4.2787,3.3,1,1
1,GPX8,1.344e-06,4.2613,3.7173,1,1
1,FBXO17,0.0060985,4.228,2.6216,1,1
1,EMP3,0.0001547,4.213,3.2149,1,1
1,TNFRSF10B,2.8496e-08,4.2119,3.7697,1,1
1,CAV1,4.5804e-07,4.173,4.1428,1,1
1,CD40,0.0010206,4.137,2.2518,1,1
